Year,Country,Code,"Air pollution (total) (deaths per 100,000)","Indoor air pollution (deaths per 100,000)","Outdoor particulate matter (deaths per 100,000)","Outdoor ozone pollution (deaths per 100,000)"
2015,Laos,LAO,127.48326780000001,97.1503616,27.58098713,4.457311955
2016,Laos,LAO,123.1877331,93.03090002,27.40524145,4.423630271
2015,Latin America and Caribbean,,36.61708393,10.14896612,24.75017046,2.172725306
2016,Latin America and Caribbean,,35.57567405,9.79874112,24.03584749,2.182515645
2015,Latvia,LVA,35.63911796,4.490579508,30.66069937,0.5943561820000001
2016,Latvia,LVA,34.8334382,4.368790349,29.97571298,0.592983037
2015,Lebanon,LBN,50.708917299999996,0.012840033,48.3815041,3.07799486
2016,Lebanon,LBN,49.96460711,0.012015995,47.63390433,3.072005015
2015,Lesotho,LSO,167.59947240000002,112.67068130000001,50.30479333,7.152840447999999
2016,Lesotho,LSO,159.12638159999997,107.9357476,46.63563625,6.961803337999999
2015,Liberia,LBR,117.01244799999999,106.5618156,9.865355332,1.0731888459999999
2016,Liberia,LBR,115.2272491,104.93755949999999,9.692127342000001,1.092406528
2015,Libya,LBY,70.57029039,0.061604748,68.1590762,3.29245374
2016,Libya,LBY,71.88861516,0.055273079,69.43578418,3.373674139
2015,Lithuania,LTU,34.73800876,1.020798249,32.89037022,0.990013877
2016,Lithuania,LTU,33.54851763,1.004971483,31.72327207,0.9759572329999999
2015,Low SDI,,152.126386,88.75212904,54.95439679,15.66218761
2016,Low SDI,,150.0111785,86.05973414,55.44908091,15.723099900000001
2015,Low-middle SDI,,111.1327713,54.4578709,50.16247456,10.46205693
2016,Low-middle SDI,,108.9506919,52.77917147,49.58258913,10.4695727
2015,Luxembourg,LUX,17.05851496,0.13969451300000002,14.87444371,2.412074923
2016,Luxembourg,LUX,16.09334547,0.13281075,13.94816115,2.357279204
2015,Macedonia,MKD,51.43558682,13.0899069,37.014097799999995,1.8349658180000001
2016,Macedonia,MKD,50.37147075,12.83352981,36.18091008,1.850716429
2015,Madagascar,MDG,160.5874434,142.987866,16.5186318,1.9912638619999998
2016,Madagascar,MDG,157.44189699999998,139.7519943,16.60279633,1.988427851
2015,Malawi,MWI,108.99976869999999,94.33216965,13.11806368,2.7799005460000004
2016,Malawi,MWI,106.8731578,92.75919736,12.56545567,2.756548405
2015,Malaysia,MYS,52.55961698,2.57074083,48.67199419,1.632139486
2016,Malaysia,MYS,49.77763583,2.45518357,45.96913654,1.6572990719999998
2015,Maldives,MDV,24.59883292,7.445057113,14.95054182,2.614008652
2016,Maldives,MDV,22.12595792,6.6730384339999995,13.19950883,2.61853045
2015,Mali,MLI,107.9820457,92.10079729,14.4968353,2.701288483
2016,Mali,MLI,108.8349398,93.76358019,13.64421999,2.769741865
2015,Malta,MLT,23.49562396,0.296105716,21.80521828,1.698833829
2016,Malta,MLT,23.36082766,0.292999368,21.61506736,1.75739033
2015,Marshall Islands,MHL,100.30413359999999,60.86857605,39.32470359,0.137321152
2016,Marshall Islands,MHL,94.94876206,57.57592636,37.22853992,0.177273309
2015,Mauritania,MRT,87.4527028,52.05749593,34.49714788,1.421646222
2016,Mauritania,MRT,85.2159896,50.5374279,33.74617144,1.460350839
2015,Mauritius,MUS,49.70206152,3.991973261,45.0730707,0.774024583
2016,Mauritius,MUS,49.17048587,3.739863288,44.77800223,0.792290355
2015,Mexico,MEX,45.13473146,11.32864316,30.37690362,4.45879875
2016,Mexico,MEX,44.73708441,11.27709991,29.98769873,4.478883832
2015,Micronesia (country),FSM,92.92237476,60.53528773,32.19129672,0.249784664
2016,Micronesia (country),FSM,91.23415904,59.56419777,31.46647456,0.257882572
2015,Middle SDI,,71.86240513,21.41740403,45.34452144,7.602954093999999
2016,Middle SDI,,69.55199567,20.74482907,43.64430267,7.576669537000001
2015,Moldova,MDA,55.83901239,11.58209197,42.92215639,1.678434459
2016,Moldova,MDA,51.70355218,10.28231829,40.15769248,1.579369737
2015,Mongolia,MNG,84.75748553,35.87465205,47.62703049,1.856707411
2016,Mongolia,MNG,81.37902802,35.61779671,44.49291512,1.847725396
2015,Montenegro,MNE,49.03554657,17.50618087,30.78257695,1.0005162429999999
2016,Montenegro,MNE,47.88858276,17.59068183,29.53876836,1.008156285
2015,Morocco,MAR,68.38215,3.148513003,63.47306877,2.34460172
2016,Morocco,MAR,68.43200524,2.638902796,64.02900019,2.3603619240000002
2015,Mozambique,MOZ,133.10797209999998,118.1080385,13.78550988,2.197112009
2016,Mozambique,MOZ,129.6866912,114.9028125,13.582773999999999,2.15949633
2015,Myanmar,MMR,123.97154280000001,76.08909747,40.60876928,11.66265453
2016,Myanmar,MMR,120.86908100000001,74.80977116,38.77508194,11.57942004
2015,Namibia,NAM,79.43159902,44.86027734,30.99481535,5.167312808999999
2016,Namibia,NAM,77.09663553,43.20875487,30.31358594,5.114441497
2015,Nepal,NPL,136.43224890000002,63.85351385,62.19406425,18.43177144
2016,Nepal,NPL,134.8789413,60.62375954,63.7824912,18.492013399999998
2015,Netherlands,NLD,19.29096157,0.089636199,17.2514218,2.34246066
2016,Netherlands,NLD,18.58653961,0.088302325,16.51717928,2.360960407
2015,New Zealand,NZL,9.37639532,0.145628848,9.040562839,0.20892064899999999
2016,New Zealand,NZL,8.646934412,0.13495754,8.273321161,0.25984615699999997
2015,Nicaragua,NIC,36.9851721,24.72982891,11.49047319,1.073941781
2016,Nicaragua,NIC,34.77956505,23.10916241,10.9209596,1.0417410870000001
2015,Niger,NER,140.9464897,113.1810662,26.25708946,3.22023778
2016,Niger,NER,140.3692484,112.33260449999999,26.50249277,3.253486089
2015,Nigeria,NGA,83.63084399,46.35124932,36.12242533,1.938817779
2016,Nigeria,NGA,82.90048546,46.17296270000001,35.53636699,1.9799994980000002
2015,North Africa and Middle East,,68.70389837,8.709037496,57.59831599,3.422007259
2016,North Africa and Middle East,,67.2473167,8.349402722,56.52199964,3.3857814960000003
2015,North America,,19.112719199999997,0.085664907,15.62484032,3.85785013
2016,North America,,17.95643094,0.083636047,14.43010343,3.8604279580000003
2015,North Korea,PRK,146.97625019999998,89.21301215,40.45555054,28.32411867
2016,North Korea,PRK,142.634362,89.81874470000001,35.51927414,27.95222113
2015,Northern Ireland,,17.92172547,0.314040978,16.17313005,1.656366803
